full_name,race,gender,age,job_title,state,city,zip_code,Salary,,,,,,
Ruby Ridgley,White,Female,53,Nurse Practicioner,New York,Bronx,10474,"$189,597.87 ",,,,,,
Annora Seakin,Hispanic,Female,69,Financial Analyst,New York,Rochester,14646,"$119,948.52 ",,,,,,
Lucius Easseby,White,Male,64,Media Manager,New York,New York City,10165,"$163,580.68 ",,,,,,
Chrissy Steagall,White,Male,20,Nurse Practicioner,New York,Jamaica,11447,"$173,440.93 ",,,,,,
Gilberto Renney,Hispanic,Male,42,Mechanical Engineer,New York,Buffalo,14215,"$189,615.42 ",,,,,,
Oran McConigal,White,Male,25,Mechanical Engineer,New York,Albany,12205,"$253,172.14 ",,,,,,
Yolande Manger,White,Female,36,Data Analyst,New York,Albany,12237,"$108,133.21 ",,,,,,
Standford Mearns,Black,Male,26,Librarian,New York,Bronx,10474,"$231,075.48 ",,,,,,
Emmit Giovannardi,White,Male,35,Financial Advisor,New York,Brooklyn,11247,"$131,666.75 ",,,,,,
Wrennie Bolus,White,Female,30,Senior Sales Associate,New York,Rochester,14619,"$85,421.46 ",,,,,,
Arther Bramich,Hispanic,Male,43,Project Manager,New York,Brooklyn,11236,"$150,503.71 ",,,,,,
Kendell O'Deoran,White,Male,53,Accountant,New York,Syracuse,13210,"$100,356.03 ",,,,,,
Nollie Voss,White,Female,35,Nurse Practicioner,New York,New York City,10120,"$218,793.58 ",,,,,,
Levi Tocqueville,Hispanic,Male,66,Speech Pathologist,New York,Rochester,14624,"$163,518.23 ",,,,,,
Nikolaus Wike,Hispanic,Male,21,Marketing Assistant,New York,Albany,12255,"$219,892.63 ",,,,,,
Gusta Weatherburn,White,Female,61,Mechanical Engineer,New York,New York City,10280,"$64,181.99 ",,,,,,
Conway Wolffers,White,Male,64,Junior Executive,New York,New York City,10120,"$87,646.61 ",,,,,,
Beck Clampin,White,Male,41,Technical Writer,New York,New York City,10184,"$89,673.09 ",,,,,,
Berty Womersley,Other,Male,38,Mechanical Engineer,New York,Rochester,14683,"$172,669.98 ",,,,,,
Welsh Hatrick,Asian,Male,47,Legal Assistant,New York,Brooklyn,11225,"$270,051.98 ",,,,,,
Jordana Karran,Black,Female,24,Physical Therapy Assistant,New York,Syracuse,13205,"$278,338.06 ",,,,,,
Manolo McNickle,Hispanic,Male,70,Environmental Tech,New York,Buffalo,14215,"$281,765.91 ",,,,,,
Nolan Cottel,Asian,Male,61,Desktop Support Technician,New York,New York City,10019,"$273,014.51 ",,,,,,
Hadria Scemp,White,Female,38,Nurse,New York,New York City,10203,"$60,488.79 ",,,,,,
Louella Baldelli,Hispanic,Female,51,Web Designer,New York,Buffalo,14263,"$230,969.23 ",,,,,,
Krystal Sides,White,Female,69,Help Desk Operator,New York,Albany,12262,"$97,652.78 ",,,,,,
Stefan Shorter,Hispanic,Male,27,Automation Specialist,New York,Flushing,11388,"$98,552.15 ",,,,,,
Dido Eisold,White,Female,41,Research Assistant,New York,Jamaica,11431,"$148,083.98 ",,,,,,
Nicol Baynton,White,Male,33,Accountant,New York,New York City,10292,"$193,095.64 ",,,,,,
Jobye Charsley,White,Female,61,Nurse Practicioner,New York,Albany,12227,"$202,203.10 ",,,,,,
Gratia Lusted,Black,Female,65,Financial Analyst,New York,Buffalo,14276,"$281,880.77 ",,,,,,
Jonie Altofts,White,Female,52,Sales Representative,New York,Albany,12247,"$117,122.39 ",,,,,,
Martina Demaine,Hispanic,Female,28,Environmental Tech,New York,Albany,12247,"$46,841.68 ",,,,,,
Zedekiah Cuel,White,Male,22,Internal Auditor,New York,New York City,10004,"$206,632.20 ",,,,,,
Rosamund Wannan,White,Female,38,Cost Accountant,New York,Rochester,14609,"$51,241.17 ",,,,,,
Ben Lampbrecht,White,Male,61,Compensation Analyst,New York,Syracuse,13205,"$102,505.53 ",,,,,,
Tom Snowman,White,Male,44,Sales Associate,New York,White Plains,10606,"$126,383.36 ",,,,,,
Lind Druery,Hispanic,Female,30,Dental Hygienist,New York,Syracuse,13224,"$27,783.58 ",,,,,,
Averil Barrott,White,Male,55,Compensation Analyst,New York,New York City,10203,"$136,199.98 ",,,,,,
Kippar Andretti,White,Male,25,Data Analyst,New York,Rochester,14683,"$45,317.58 ",,,,,,
Verine Geary,White,Female,42,Staff Scientist,New York,Albany,12242,"$272,374.02 ",,,,,,
Marshall Mucillo,Hispanic,Male,43,VP Quality Control,New York,Syracuse,13251,"$135,176.36 ",,,,,,
Boony Paynter,White,Male,56,Health Coach,New York,Yonkers,10705,"$58,107.33 ",,,,,,
Garreth Claris,Hispanic,Male,48,Mechanical Engineer,New York,Albany,12210,"$289,722.15 ",,,,,,
Michal Challinor,White,Female,66,Data Analyst,New York,New York City,10034,"$245,638.51 ",,,,,,
Dierdre Greenig,White,Female,56,Financial Advisor,New York,Jamaica,11499,"$143,521.77 ",,,,,,
Theodora Jiroudek,Black,Female,42,Assistant Professor,New York,Syracuse,13224,"$125,197.44 ",,,,,,
Waldo Murrells,Black,Male,54,Health Coach,New York,Utica,13505,"$297,777.35 ",,,,,,
Danny Deeley,White,Male,63,Payment Adjustment Coordinator,New York,Jamaica,11470,"$147,481.57 ",,,,,,
Wylie Etter,Other,Male,54,Data Analyst,New York,Buffalo,14205,"$192,912.72 ",,,,,,
Kari Collocott,White,Female,41,Mechanical Engineer,New York,Schenectady,12305,"$206,137.20 ",,,,,,
Maris Howlings,White,Female,23,Operator,New York,New York City,10060,"$133,421.32 ",,,,,,
Clotilda Blethin,White,Female,35,Junior Executive,New York,Brooklyn,11210,"$101,220.13 ",,,,,,
Kevin Cristofano,White,Male,50,Systems Administrator,New York,Albany,12255,"$278,541.92 ",,,,,,
Maye Cheek,White,Female,46,Quality Control Specialist,New York,New York City,10004,"$33,911.81 ",,,,,,
Berrie Ricard,Hispanic,Female,42,Financial Advisor,New York,Elmira,14905,"$36,444.22 ",,,,,,
Adan Gaitskill,White,Female,64,Biostatistician,New York,Buffalo,14263,"$275,213.40 ",,,,,,
Tobias Ruslen,White,Male,29,General Manager,New York,Great Neck,11024,"$56,930.06 ",,,,,,
Baily Fallow,White,Male,45,VP Quality Control,New York,Mount Vernon,10557,"$218,188.90 ",,,,,,
Moises Broek,Asian,Male,35,Business Systems Development Analyst,New York,Bronx,10469,"$270,191.11 ",,,,,,
Gwendolin Truscott,Black,Female,62,Data Analyst,New York,Albany,12255,"$164,299.24 ",,,,,,
Augustine Ugo,Hispanic,Male,48,Assistant Professor,New York,Buffalo,14210,"$62,423.91 ",,,,,,
Janet Joncic,White,Female,26,Senior Editor,New York,New York City,10034,"$176,554.09 ",,,,,,
Laird Hulks,White,Male,31,VP Sales,New York,New York City,10249,"$148,114.26 ",,,,,,
Adella Ferschke,Black,Female,43,Technical Writer,New York,Rochester,14683,"$64,147.55 ",,,,,,
Garreth Crowdson,Other,Male,48,Data Analyst,New York,Brooklyn,11254,"$159,232.50 ",,,,,,
Bastian Langdale,White,Male,59,VP Marketing,New York,New York City,10275,"$100,356.60 ",,,,,,
Farris McLoughlin,White,Male,34,Help Desk Operator,New York,Brooklyn,11236,"$43,405.60 ",,,,,,
Alvy Shadfourth,White,Male,66,VP Product Management,New York,New York City,10203,"$170,602.39 ",,,,,,
Hayley Havik,Hispanic,Female,39,Biostatistician,New York,Bronx,10469,"$215,729.65 ",,,,,,
Brit Craven,White,Male,48,Senior Editor,New York,Buffalo,14215,"$128,700.22 ",,,,,,
Lilith Vigours,Hispanic,Female,29,Pharmacist,New York,Flushing,11388,"$40,892.16 ",,,,,,
Rudyard Mish,White,Male,57,Geologist,New York,Yonkers,10705,"$239,324.53 ",,,,,,
Stephana Suttill,Black,Female,50,Operator,New York,New York City,10009,"$269,456.69 ",,,,,,
Debbie Hands,White,Female,53,Systems Administrator,New York,New York City,10029,"$174,735.24 ",,,,,,
Giffy Irvin,White,Male,63,Sales Associate,New York,Rochester,14683,"$74,553.30 ",,,,,,
Camey Hinge,White,Male,23,Business Systems Development Analyst,New York,New York City,10131,"$95,571.61 ",,,,,,
Byrann Watkiss,White,Male,65,Help Desk Operator,New York,Albany,12227,"$170,258.53 ",,,,,,
Gisela Piborn,Hispanic,Female,47,Actuary,New York,Brooklyn,11236,"$197,456.53 ",,,,,,
Daveta D'Ugo,Black,Female,25,Sales Associate,New York,New Hyde Park,11044,"$291,326.13 ",,,,,,
Anissa Di Francecshi,White,Female,38,General Manager,New York,Brooklyn,11205,"$273,791.66 ",,,,,,
Germayne Dumper,Asian,Male,57,Accountant,New York,New York City,10110,"$138,527.19 ",,,,,,
Dede Camsey,Black,Female,34,Assistant Professor,New York,Bronx,10454,"$255,174.79 ",,,,,,
Fergus Shuter,Black,Male,32,Biostatistician,New York,Jamaica,11480,"$135,410.03 ",,,,,,
Chelsey Lafayette,White,Female,57,Automation Specialist,New York,Brooklyn,11220,"$172,493.51 ",,,,,,
Baudoin Diboll,White,Male,30,Senior Developer,New York,Buffalo,14210,"$270,511.10 ",,,,,,
Carmita MacCheyne,White,Female,29,Research Associate,New York,Rochester,14652,"$196,805.67 ",,,,,,
Lea O'Shiels,White,Female,55,Recruiting Manager,New York,New York City,10150,"$218,032.41 ",,,,,,
Cletis MacChaell,Black,Male,19,Media Manager,New York,Bronx,10464,"$174,288.36 ",,,,,,
Hamil Lovelock,White,Male,25,Clinical Specialist,New York,Buffalo,14233,"$256,460.47 ",,,,,,
Happy McGaw,Asian,Female,50,Assistant Media Planner,New York,Brooklyn,11225,"$184,690.11 ",,,,,,
Berna Terren,White,Female,64,Information Systems Manager,New York,Albany,12242,"$246,106.20 ",,,,,,
Vivi Slatten,White,Female,49,Mechanical Engineer,New York,Brooklyn,11236,"$226,659.15 ",,,,,,
Rory Gerrans,White,Female,57,Staff Scientist,New York,New York City,10170,"$225,581.94 ",,,,,,
Sutherlan Lawrenson,White,Male,28,Cost Accountant,New York,New York City,10014,"$156,662.94 ",,,,,,
Nicolais Warhurst,Other,Male,54,Financial Analyst,New York,Bronx,10459,"$50,210.98 ",,,,,,
Pavlov Leatherland,Hispanic,Male,39,Senior Editor,New York,Albany,12255,"$90,538.37 ",,,,,,
Timmy Shiel,Black,Male,30,Assistant Professor,New York,Albany,12227,"$99,047.92 ",,,,,,
Lion Guess,Other,Male,67,Food Chemist,New York,Rochester,14683,"$134,329.54 ",,,,,,
Arlene Kochs,White,Female,48,Environmental Tech,New York,Flushing,11388,"$168,657.50 ",,,,,,
Iosep Purdom,Hispanic,Male,65,Biostatistician,New York,Rochester,14652,"$54,350.85 ",,,,,,
Grange Forseith,White,Male,46,Environmental Specialist,New York,Jamaica,11499,"$148,372.92 ",,,,,,
Alphonse Gorriessen,Hispanic,Male,41,Librarian,New York,New York City,10045,"$97,566.00 ",,,,,,
Davidde Rosedale,White,Male,51,Sales Associate,New York,Jamaica,11436,"$169,286.87 ",,,,,,
Hestia Greger,White,Female,19,Nurse Practicioner,New York,Albany,12205,"$132,140.57 ",,,,,,
Claus Brookhouse,White,Male,69,Tax Accountant,New York,Bronx,10469,"$89,808.26 ",,,,,,
Pearline Fine,White,Female,62,Graphic Designer,New York,Rochester,14683,"$84,056.05 ",,,,,,
Carlos Guinane,White,Male,32,Nurse Practicioner,New York,Jamaica,11470,"$40,325.35 ",,,,,,
Edita Bryden,White,Female,50,Assistant Media Planner,New York,Albany,12210,"$147,935.51 ",,,,,,
Dalli Voaden,White,Male,63,GIS Technical Architect,New York,New York City,10024,"$104,282.53 ",,,,,,
Nicolina Graffham,White,Female,24,Mechanical Engineer,New York,Syracuse,13210,"$230,378.18 ",,,,,,
Moore Tainton,Black,Male,35,VP Product Management,New York,Jamaica,11470,"$143,661.64 ",,,,,,
Falkner Mosson,Black,Male,30,Information Systems Manager,New York,Brooklyn,11205,"$160,555.14 ",,,,,,
Jermaine Rolling,White,Male,44,Health Coach,New York,New York City,10292,"$94,013.74 ",,,,,,
Jeanine Ca,White,Female,53,Physical Therapy Assistant,New York,New York City,10090,"$221,507.03 ",,,,,,
Hogan Hargie,White,Male,64,Media Manager,New York,New York City,10275,"$207,188.03 ",,,,,,
Claire But,Asian,Male,61,Buget Analyst,New York,Brooklyn,11254,"$225,177.75 ",,,,,,
Chantalle Cully,Black,Female,56,Mechanical Engineer,New York,Rochester,14624,"$276,266.02 ",,,,,,
Witty Warbrick,Black,Male,58,Librarian,New York,Buffalo,14263,"$91,142.47 ",,,,,,
Dynah Clappison,White,Female,47,Research Nurse,New York,Schenectady,12325,"$271,198.07 ",,,,,,
Gusta Fullicks,Black,Female,59,Sales Associate,New York,Jamaica,11499,"$135,468.56 ",,,,,,
Catharine Downing,White,Female,65,Assistant Media Planner,New York,Great Neck,11024,"$60,026.89 ",,,,,,
Malcolm Blest,White,Male,35,Mechanical Engineer,New York,Bronx,10454,"$97,801.91 ",,,,,,
Anallese Pail,White,Female,52,VP Accounting,New York,New York City,10045,"$259,529.06 ",,,,,,
Leupold Snookes,White,Male,59,Internal Auditor,New York,Albany,12237,"$72,544.38 ",,,,,,
Rhea Hadny,White,Female,63,Executive Assistant,New York,New York City,10155,"$140,808.64 ",,,,,,
Whitney McHan,White,Female,51,Mechanical Engineer,New York,Bronx,10454,"$149,098.70 ",,,,,,
Marcus Normanville,White,Male,44,Mechanical Engineer,New York,New York City,10184,"$187,619.69 ",,,,,,
Orson Swettenham,White,Male,33,Environmental Tech,New York,Albany,12262,"$258,972.28 ",,,,,,
Moria Soigne,Hispanic,Female,28,Librarian,New York,New York City,10019,"$104,657.77 ",,,,,,
Claudianus Mealiffe,Black,Male,35,VP Marketing,New York,New York City,10270,"$268,411.46 ",,,,,,
Iggie Leworthy,Black,Male,30,Mechanical Engineer,New York,Syracuse,13224,"$121,478.83 ",,,,,,
Aloysia Fenn,White,Female,28,Office Assistant,New York,Buffalo,14215,"$137,116.44 ",,,,,,
Lauryn Camolli,White,Female,59,Data Coordiator,New York,New York City,10120,"$53,901.65 ",,,,,,
Andrus Cobson,White,Male,37,Mechanical Engineer,New York,Brooklyn,11215,"$275,813.33 ",,,,,,
Danielle Stanton,Hispanic,Female,28,Marketing Assistant,New York,Staten Island,10305,"$74,516.69 ",,,,,,
Mace Leader,Other,Male,60,Mechanical Engineer,New York,Brooklyn,11241,"$247,381.25 ",,,,,,
Abigail Hobson,White,Female,68,Pharmacist,New York,Albany,12227,"$249,358.53 ",,,,,,
Oby Di Biagi,Hispanic,Male,24,Media Manager,New York,New York City,10270,"$64,409.71 ",,,,,,
Mychal Chieco,White,Male,58,Media Manager,New York,Jamaica,11407,"$200,805.31 ",,,,,,
Barth Lackinton,Asian,Male,26,Actuary,New York,Jamaica,11470,"$56,211.64 ",,,,,,
Leon Tatchell,White,Male,41,Help Desk Operator,New York,Brooklyn,11254,"$79,472.46 ",,,,,,
Hughie Eggleton,White,Male,66,Mechanical Engineer,New York,New York City,10110,"$78,031.20 ",,,,,,
Skippie Mendel,White,Male,35,VP Marketing,New York,Staten Island,10310,"$261,489.35 ",,,,,,
Gizela Bidewel,Hispanic,Female,28,Registered Nurse,New York,New York City,10292,"$175,660.04 ",,,,,,
Dorice Randales,Hispanic,Female,37,Biostatistician,New York,New York City,10029,"$245,672.65 ",,,,,,
Eddie Alsford,Hispanic,Male,23,Account Executive,New York,New York City,10060,"$157,443.32 ",,,,,,
Andros Marjot,White,Male,63,Data Analyst,New York,Buffalo,14215,"$106,332.53 ",,,,,,
Kendricks Redgate,White,Male,58,GIS Technical Architect,New York,Syracuse,13251,"$250,402.05 ",,,,,,
Willey Esland,Hispanic,Male,64,Associate Professor,New York,New York City,10184,"$153,435.54 ",,,,,,
Lenore Santostefano.,White,Female,29,Buget Analyst,New York,Rochester,14646,"$254,637.90 ",,,,,,
Vincent McCurrie,White,Male,21,Data Analyst,New York,New York City,10090,"$86,607.51 ",,,,,,
Brynn Layburn,White,Female,20,Data Analyst,New York,New York City,10079,"$107,168.81 ",,,,,,
Frazier Rieflin,White,Male,26,Mechanical Engineer,New York,New York City,10105,"$73,165.43 ",,,,,,
Heloise Exelby,Hispanic,Female,64,Environmental Tech,New York,Syracuse,13205,"$72,974.97 ",,,,,,
Stace Stern,White,Female,64,Staff Scientist,New York,Bronx,10454,"$145,148.68 ",,,,,,
Marna Manston,White,Female,40,Human Resources,New York,Hicksville,11854,"$203,266.83 ",,,,,,
Brantley Raatz,White,Male,33,VP Quality Control,New York,Albany,12222,"$93,830.33 ",,,,,,
Gabe Rowena,White,Male,23,General Manager,New York,New York City,10090,"$173,347.63 ",,,,,,
Shellysheldon Sandeson,White,Male,18,Senior Cost Accountant,New York,New York City,10079,"$75,458.81 ",,,,,,
Patrizio Ludlamme,White,Male,45,Executive Secretary,New York,Hicksville,11854,"$245,115.14 ",,,,,,
